id,year,month,day,hour,lat,lon,label,u200,v200,u850,v850,shear_200_850,rh600_700,t500,tcwv,sst_c,mslp_hpa,nino34_anom,romi1,romi2,amo_ssta,nao_index,qbo_30mb
AL162000,2000,10,10,18,53.0,-10.0,0,18.137481689453125,-8.176941871643066,7.164325714111328,-11.838987350463867,11.568090989793054,69.53173446655273,247.8433990478516,13.30324649810791,13.369470214843773,974.825625,-0.71,-1.7835,1.96727,0.2,0.92,-14.04
AL172024,2024,10,31,18,39.2,-41.0,0,5.3654961585998535,19.80805397033692,4.972993850708008,0.1300600618124008,19.681907995050384,47.39365005493164,254.17547607421875,19.94784927368164,21.953271484375023,999.7246875,-0.28,-0.80061,1.41531,1.25,-0.375,11.64
AL242020,2020,9,15,0,47.0,-22.4,0,-0.8635978698730469,5.844433307647705,0.2257050722837448,-6.55372953414917,12.445923941254993,56.553829193115234,253.3660430908203,20.769268035888672,17.614770507812523,1006.5840625,-0.64,-0.80712,1.43512,0.71,0.985,7.95
AL012023,2023,1,17,0,39.8,-61.6,0,6.547537803649902,14.877801895141602,7.90893030166626,11.739384651184082,3.4209724247390727,66.19905662536621,253.24429321289065,21.95326232910156,16.906854248046898,996.786015625,-0.69,0.17468,0.69994,0.76,1.2503,12.5
AL192019,2019,10,28,0,40.5,-41.1,0,9.083816528320312,2.0213000774383545,8.850555419921875,-1.6521354913711548,3.6808340933660815,72.00335693359375,254.5590057373047,22.06707763671875,20.567437744140648,981.0259375,0.52,-1.06084,1.21611,0.66,-1.4134,7.27
AL012021,2021,5,21,0,34.8,-55.0,0,18.49058723449707,25.179819107055664,-6.363412380218506,1.645833969116211,34.22820114059512,48.14175796508789,256.22857666015625,22.44768524169922,20.219506835937523,1017.585703125,-0.32,-0.49064,2.27345,0.58,-1.2386,0.31
AL012007,2007,5,7,6,33.3,-72.3,0,16.39791488647461,1.2072720527648926,-8.446343421936035,-8.83999252319336,26.798968195703672,62.86730194091797,256.7139892578125,23.516530990600582,21.466943359375023,1007.899375,-0.43,-0.19353,0.7306,0.35,0.6638,-14.06
AL012017,2017,4,16,6,35.8,-50.3,0,8.740880966186523,18.43085670471192,2.125605583190918,-6.045469760894775,25.354534616983727,75.26631546020508,254.5122985839844,24.44527816772461,19.149957275390648,1000.273671875,0.36,0.18088,0.47659,0.69,1.7325,13.88
AL121991,1991,10,31,18,36.7,-71.5,1,17.92510223388672,-15.220666885375977,0.9239015579223632,-4.984087944030762,19.845109544842607,68.43694496154785,257.6351623535156,25.673526763916016,21.697534179687523,1005.4453125,0.64,-0.21382,0.76743,-0.13,-0.19,-12.21
AL012012,2012,5,20,0,32.1,-78.1,0,9.087985038757324,5.578226566314697,-2.996676445007324,-3.396045207977295,15.052461494919651,43.98139572143555,261.3162841796875,27.86434936523437,25.240075683593773,1015.263046875,-0.19,-0.0933,0.13074,0.47,-0.9068,-22.04
AL152013,2013,12,4,0,33.9,-27.8,0,2.985985517501831,4.515658378601074,-5.22161340713501,-5.935832977294922,13.289031254010526,66.85358810424805,257.0577697753906,28.11823844909668,20.496484375000023,1006.018515625,-0.18,1.0325,1.15815,0.4,0.9457,12.55
AL122008,2008,9,27,12,37.5,-38.0,0,-7.379024028778076,12.754061698913574,-1.4280273914337158,-5.937697887420654,19.61622383158903,65.83794021606445,259.7296447753906,29.89333152770996,24.250115966796898,1007.144609375,-0.24,-0.65899,1.71642,0.48,1.0169,11.6
AL152007,2007,10,17,0,41.9,-30.1,0,16.951196670532227,8.121200561523438,3.88946795463562,8.464973449707031,13.06625182852099,39.46340751647949,264.1516418457031,30.33882522583008,19.896539306640648,1004.588046875,-1.19,0.81183,0.83372,0.56,0.4465,-29.05
AL212021,2021,10,27,0,40.8,-67.6,0,9.125557899475098,12.453239440917969,-7.960052967071533,3.8540854454040527,19.127559910287022,69.97286605834961,261.630615234375,30.896289825439453,18.442529296875023,992.122734375,-0.77,0.81452,0.82205,0.96,-2.2899,-19.14
AL182019,2019,10,26,12,35.1,-29.1,1,21.41473197937012,15.570138931274414,6.421672821044922,0.1673808544874191,21.495040807057475,63.077247619628906,259.6480712890625,31.51056289672852,22.95552978515628,1003.2346875,0.52,-0.36729,0.85504,0.66,-1.4134,7.27
AL092009,2009,9,27,18,46.0,-43.2,0,-6.204122066497803,30.91283798217773,-0.0803565457463264,2.478646278381348,29.08614381456208,77.82086181640625,261.3222045898437,32.788700103759766,16.367761230468773,1000.07671875,0.71,-1.61884,1.62096,0.36,1.5089,-13.81
AL012003,2003,4,21,0,31.4,-66.4,0,7.661611557006836,-11.5551176071167,2.227030038833618,-3.567495822906494,9.66109610992766,59.84446334838867,260.5567321777344,32.96501922607422,21.29317626953128,1007.39359375,-0.14,1.14517,1.19913,0.22,-0.18,-8.56
AL032007,2007,8,1,18,49.0,-49.5,0,27.0938777923584,24.726316452026367,11.107744216918944,1.330460548400879,28.335887848362898,65.52018737792969,264.1754455566406,34.098838806152344,12.381097412109398,1000.935390625,-0.58,-1.06853,1.31736,0.19,-0.139,-27.41
AL102016,2016,9,16,12,46.8,-38.6,0,17.35482406616211,29.10503196716309,15.150890350341797,15.195911407470703,14.082647427518268,57.04136276245117,264.5964660644531,34.316280364990234,17.088708496093773,997.043359375,-0.43,-0.71324,1.13168,0.78,0.611,10.48
AL162001,2001,11,4,12,34.3,-50.4,1,7.046335220336914,2.509450435638428,-1.00772225856781,1.7614208459854126,8.088719932133735,63.21175575256348,261.8299560546875,34.909523010253906,24.19088134765628,1002.092578125,-0.48,-0.11042,0.12927,0.4,0.63,-3.88
AL011992,1992,4,22,6,24.9,-61.5,0,5.451135158538818,-5.9669060707092285,-2.475937843322754,5.020792484283447,13.548727095643738,57.21308135986328,261.42938232421875,34.93592834472656,23.585321044921898,1011.32515625,1.0,-0.13723,0.46517,-0.08,1.86,-17.79
AL242005,2005,10,8,18,33.1,-20.1,1,4.5328240394592285,-9.52744483947754,0.1919945329427719,-0.378371000289917,10.126616064586988,64.3671760559082,261.34783935546875,35.09199905395508,23.276391601562523,1005.795703125,-0.07,1.53455,1.54088,0.63,-0.98,-28.76
AL302020,2020,11,10,12,28.9,-38.0,0,22.57654571533203,13.955526351928713,3.5496749877929688,-3.789041042327881,26.01713823024733,55.41780662536621,262.06494140625,35.370506286621094,24.90279541015628,1008.85625,-1.23,1.51946,1.7183,0.66,2.5445,11.15
AL312005,2006,1,1,18,25.0,-38.6,0,16.47662925720215,0.5082782506942749,-4.432426452636719,-0.7072130441665649,20.944355558599263,55.10036659240723,262.4740905761719,35.729698181152344,23.533288574218773,1014.91265625,-0.93,-0.03636,0.47006,0.48,1.2651,-18.83
